City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Katobu,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
7,Sitio Novo Do Tocantins,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
9,Kalmunai,LK,78.89,broken clouds,7.4167,81.8167,VS Villa
12,Boyolangu,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
14,Axim,GH,81.18,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
15,Ballina,AU,68.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
20,San Policarpo,PH,77.47,moderate rain,12.1791,125.5072,Agapita M. Nicart
22,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
35,Fonte Boa,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
40,Kavaratti,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
41,Itarema,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
44,Arraial Do Cabo,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
52,Mumford,GH,81.18,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
53,Chiantla,GT,80.19,scattered clouds,15.3547,-91.4583,Hotel Premier
59,San Pedro,PH,78.35,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
65,Isangel,VU,82.54,overcast clouds,-19.55,169.2667,Tanna Lodge
67,Tonota,BW,77.09,overcast clouds,-21.4833,27.4833,Semotswane Baraka Lodge
68,Port Blair,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
69,Butaritari,KI,81.25,light rain,3.0707,172.7902,Isles Sunset Lodge
75,Srinagar,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
81,Pedernales,DO,83.66,broken clouds,18.0384,-71.744,Hotel Costa Marina
82,Bartica,GY,80.92,few clouds,6.4,-58.6167,Sloth Island Nature Resort
83,Tagusao,PH,77.47,moderate rain,12.1791,125.5072,Agapita M. Nicart
88,Banes,CU,82.29,clear sky,20.9625,-75.7186,Hostal Iván y yailet
89,Manokwari,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
94,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
96,Cabedelo,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
99,Matara,LK,78.89,broken clouds,7.4167,81.8167,VS Villa
106,Saint-Pierre,RE,76.91,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
107,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
108,Santa Fe,CU,82.29,clear sky,20.9625,-75.7186,Hostal Iván y yailet
110,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
111,Chegutu,ZW,67.28,few clouds,-18.1302,30.1407,Jacaranda Lodge
113,Sungairaya,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
115,Huarmey,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
116,Tandalti,SD,87.04,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
117,Gazanjyk,TM,66.42,overcast clouds,39.2446,55.5154,Railway motel
121,Rungata,KI,81.25,light rain,3.0707,172.7902,Isles Sunset Lodge
127,Sao Joao Da Barra,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
128,Ternate,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
136,Inhambane,MZ,75.43,light rain,-23.865,35.3833,Oceano
141,Merauke,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
144,Dubti,ET,83.07,scattered clouds,11.7361,41.0853,degu Shiferaw
152,Lago Da Pedra,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
167,Bako,ET,83.07,scattered clouds,11.7361,41.0853,degu Shiferaw
168,Inirida,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
170,Cockburn Town,TC,78.49,clear sky,21.4612,-71.1419,Osprey Beach Hotel
173,Harper,LR,80.71,broken clouds,4.375,-7.7169,Screensaver
174,Vao,NC,80.11,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
175,Maceio,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
177,Kathu,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
178,Pangai,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
180,Avarua,CK,86.05,few clouds,-21.2078,-159.775,Paradise Inn
183,Hithadhoo,MV,82.08,few clouds,-0.6,73.0833,Scoop Guest House
185,Biak,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
187,Cayenne,GF,77.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
188,Jalingo,NG,88.75,scattered clouds,8.8833,11.3667,Debright Motel
197,Coxim,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
198,Mega,ET,83.07,scattered clouds,11.7361,41.0853,degu Shiferaw
199,Grand-Santi,GF,77.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
200,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
201,Marsabit,KE,71.26,overcast clouds,2.3284,37.9899,Chicho Hotel
209,Barcelos,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
212,Chokwe,MZ,75.43,light rain,-23.865,35.3833,Oceano
213,Jos,NG,88.75,scattered clouds,8.8833,11.3667,Debright Motel
215,Puerto Ayora,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
216,Porto Walter,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
221,Hualmay,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
222,Caravelas,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
225,Chuy,UY,65.21,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
227,Saint-Joseph,RE,72.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
231,Natal,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
235,Bentiu,SD,87.04,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
237,Acarau,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
245,Cidreira,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
246,Laguna,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
247,Sao Lourenco Da Mata,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
251,Kekri,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
256,Vila Velha,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
258,Puerto Leguizamo,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
264,Marcona,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
266,Kuching,MY,73.62,scattered clouds,1.55,110.3333,Hilton Kuching
269,Mangrol,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
270,Macaboboni,PH,77.47,moderate rain,12.1791,125.5072,Agapita M. Nicart
272,Nisia Floresta,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
