City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.4072,38.71,75,100,6.91,light snow
1,Cape Town,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
2,Asau,RO,46.4333,26.4,45.95,82,100,4.74,overcast clouds
3,Katobu,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
4,Bluff,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
5,Stornoway,GB,58.2093,-6.3865,39.16,71,100,17.27,overcast clouds
6,Nome,US,57.79,-152.4072,38.71,75,100,6.91,light snow
7,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
8,Busselton,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
9,Kalmunai,LK,7.4167,81.8167,78.89,82,83,3.87,broken clouds
10,Adrar,MR,20.5022,-10.0711,75.6,16,0,11.34,clear sky
11,Mount Gambier,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
12,Boyolangu,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
13,Koplik,AL,42.2136,19.4364,49.6,89,74,2.44,broken clouds
14,Axim,GH,4.8699,-2.2405,81.18,84,90,8.1,overcast clouds
15,Ballina,AU,-28.8667,153.5667,68.02,99,92,12.39,overcast clouds
16,Hasaki,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
17,Karratha,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
18,Kapaa,US,57.79,-152.4072,38.71,75,100,6.91,light snow
19,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,5.75,clear sky
20,San Policarpo,PH,12.1791,125.5072,77.47,87,100,7.83,moderate rain
21,Ginda,IN,30.6945,78.4932,57.36,25,0,8.08,clear sky
22,Vaini,TO,-21.2,-175.2,82.56,83,75,1.14,broken clouds
23,Yellowknife,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
24,Mataura,NZ,-46.1927,168.8643,51.82,89,99,10.65,overcast clouds
25,Kruisfontein,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
26,Crystal Beach,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
27,Carnarvon,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
28,Hilo,US,57.79,-152.4072,38.71,75,100,6.91,light snow
29,Berlevag,NO,70.8578,29.0864,32.0,78,70,22.79,broken clouds
30,Albany,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
31,Rikitea,NZ,-46.1927,168.8643,51.82,89,99,10.65,overcast clouds
32,Sitka,US,57.79,-152.4072,38.71,75,100,6.91,light snow
33,Nanortalik,GL,60.1432,-45.2371,29.68,86,99,12.03,overcast clouds
34,Abilene,US,57.79,-152.4072,38.71,75,100,6.91,light snow
35,Fonte Boa,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
36,East London,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
37,Isabela,US,57.79,-152.4072,38.71,75,100,6.91,light snow
38,Dedougou,BF,12.4667,-3.4667,96.28,25,100,11.05,overcast clouds
39,New Norfolk,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
40,Kavaratti,IN,10.5669,72.642,83.07,73,55,6.67,broken clouds
41,Itarema,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
42,Daan,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
43,Port Alfred,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
44,Arraial Do Cabo,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
45,Faya,SA,18.3851,42.4509,60.91,9,0,4.97,clear sky
46,Liverpool,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
47,College,US,57.79,-152.4072,38.71,75,100,6.91,light snow
48,Luderitz,NA,-26.6481,15.1594,63.03,59,21,16.91,few clouds
49,Castro,CL,-53.15,-70.9167,42.91,75,0,5.75,clear sky
50,Illoqqortoormiut,GL,60.1432,-45.2371,29.68,86,99,12.03,overcast clouds
51,Gland,CH,46.4208,6.2701,52.09,90,100,1.99,light rain
52,Mumford,GH,4.8699,-2.2405,81.18,84,90,8.1,overcast clouds
53,Chiantla,GT,15.3547,-91.4583,80.19,34,40,11.5,scattered clouds
54,Ilulissat,GL,60.1432,-45.2371,29.68,86,99,12.03,overcast clouds
55,Oksfjord,NO,70.8578,29.0864,32.0,78,70,22.79,broken clouds
56,Upernavik,GL,60.1432,-45.2371,29.68,86,99,12.03,overcast clouds
57,Umzimvubu,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
58,Ushuaia,AR,-54.8,-68.3,38.86,70,20,12.66,few clouds
59,San Pedro,PH,14.35,121.0167,78.35,85,40,2.3,scattered clouds
60,Barrow,US,57.79,-152.4072,38.71,75,100,6.91,light snow
61,Bredasdorp,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
62,Port Elizabeth,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
63,Tuktoyaktuk,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
64,Ceres,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
65,Isangel,VU,-19.55,169.2667,82.54,72,100,12.95,overcast clouds
66,Pangnirtung,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
67,Tonota,BW,-21.4833,27.4833,77.09,42,99,16.49,overcast clouds
68,Port Blair,IN,10.5669,72.642,83.07,73,55,6.67,broken clouds
69,Butaritari,KI,3.0707,172.7902,81.25,79,99,13.8,light rain
70,Norman Wells,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
71,Paamiut,GL,60.1432,-45.2371,29.68,86,99,12.03,overcast clouds
72,Hermanus,ZA,-33.9258,18.4232,60.28,69,0,20.71,clear sky
73,Tasiilaq,GL,60.1432,-45.2371,29.68,86,99,12.03,overcast clouds
74,Xichang,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
75,Srinagar,IN,10.5669,72.642,83.07,73,55,6.67,broken clouds
76,Sakaiminato,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
77,Ponta Do Sol,PT,32.6667,-17.1,60.71,74,53,2.15,broken clouds
78,Esparta,HN,15.7437,-87.1766,89.55,75,65,5.32,broken clouds
79,Atuona,NZ,-46.1927,168.8643,51.82,89,99,10.65,overcast clouds
